29.8,59.1,5.2,17.9,18.9,9.2,1.72,6.3,319,2
28.3,75.6,2.3,12.2,30.8,9.7,1.64,6,611,2
23.1,74.7,26.7,33.8,24.4,12.6,1.63,5.2,619,2
27.1,39.1,6.1,6.3,13.5,5.3,1.15,11.1,551,3
26.5,70.7,6.9,16,21.9,5.6,1.01,12.7,303,3
39.4,96.6,14.6,35.5,42.9,17.9,1.82,3.1,674,0
41.7,82.5,1.7,15.8,31.1,12.7,1.8,4.6,735,1
31,59.6,5,16.8,24.2,13.6,1.38,6.3,443,2
29.4,93.8,10.3,22.7,45.1,11.8,2.03,5.4,486,1
33.2,80.5,11.1,24.4,32,15.3,1.69,4.9,535,1
26.3,65.7,1.3,5.5,18.3,5.9,0.85,13,529,3
32.5,51.2,1.6,10.5,21.6,19.3,1.53,5.9,519,2
20,53.3,3.7,12.9,26.1,6.6,1.09,10.2,538,3
28.6,53.7,28.9,34,23.2,4.5,1.02,11,508,3
22.3,80.5,4.5,12,17.2,6.3,1.18,10.4,232,3
32,78.9,22.4,29.9,27.5,11.8,1.48,7.9,444,2
22.9,75.4,4.5,10.4,18.4,3.7,0.96,14.4,359,3
37.6,81.2,28.1,56.6,46.7,13.7,1.85,4.1,560,1
34.7,59.3,9,15.7,28.5,7.1,1.52,6.1,437,2
37.8,97.2,0.6,24.6,37.1,11.7,1.13,7.7,803,1
27.6,44.1,3.5,14.4,30.7,9.4,0.97,8,338,2
27.6,77.5,3.8,10.9,9.1,1.7,1.04,14.4,520,3
25.6,58.3,0.4,-0.2,25.3,4.5,0.98,10,536,3
24.6,48.4,8.3,15.4,23.3,4.6,1.03,11.2,461,3
26.2,49.9,0.5,2,22.9,2.3,0.94,17.9,581,3
22.6,62.1,16.4,21.3,17.6,4.8,0.93,11.5,324,3
30,69.2,2,3.9,15.3,5.2,1.09,10.1,297,3
37.6,72.2,10.1,16.6,32.2,6.3,1.85,3.5,637,1
29.6,65.6,3.4,9.3,20.6,2.9,1.03,10.2,452,3
52.5,83.9,67.5,91.2,31.6,34.6,2.31,2.9,785,0
44.7,97.9,34.6,57.3,28.1,22.6,1.78,3.5,562,0
23.3,45.2,24,29,26.6,5.3,0.96,10.9,575,3
35.4,100.2,20.5,33.2,34.4,11.7,1.85,5.1,440,1
29.7,85.8,84.4,94.4,26.7,19.8,1.55,10,744,1
